swapSweep(outputVal "Corner") ,swapSweep(outputVal "Corner") Y
test0,0.9029222759751045
test1,0.9041119384376516
test2,0.9043473812479949
test3,0.9037122794981132
test4,0.9044215270032
test5,0.905874655942125
test6,0.9063302510772544
test7,0.9054456357660304
test8,0.9038090401241766
test9,0.9021993882562036
test10,0.9026680556409999
test11,0.9029050581215396
test12,0.9035370915850194
test13,0.9049960856026203
test14,0.9051166604742529
test15,0.9042195946422008
test16,0.9056102292311373
test17,0.9081271415307378
test18,0.908944455503639
test19,0.9077352288774229
test20,0.9054882321739149
test21,0.9033327751711292
test22,0.904512847041977
test23,0.905805081835741
test24,0.9063768526512016
test25,0.9085690019238171
test26,0.9083283405171965
test27,0.9085625464601678
test28,0.9093486660419365
test29,0.9112157127717208
test30,0.9120165763482375
test31,0.9107443503556062
test32,0.9085192581832449
test33,0.9066348654297484
test34,0.9076149220250366
test35,0.9087535041391058
test36,0.9097656780617555
test37,0.9109885900021887
test38,0.9105463673643256
test39,0.9101516008646273
test40,0.9131523607906552
test41,0.9155114922277579
test42,0.9173470161747277
test43,0.9147544965875914
test44,0.9119905619449585
test45,0.9097200586075734
test46,0.9105947566268192
test47,0.9118152074321854
test48,0.9120165763482375
test49,0.9151264646948943
test50,0.9166164077938821
test51,0.9161535511825252
test52,0.9173470161747277
test53,0.9199121493508321
test54,0.9213166973184826
test55,0.9186201575764454
test56,0.9149941230699106
test57,0.9113425122613298
test58,0.9118428930644217
test59,0.9126519383167562
test60,0.9113624241816918
test61,0.9147089792512466
test62,0.9161535511825252
test63,0.9164006327405045
test64,0.9194678338457796
test65,0.9243684327149521
test66,0.9250065789087027
test67,0.9214760432172344
test68,0.9172374647838231
test69,0.9136816681567492
test70,0.9148800486695444
test71,0.9173470161747277
test72,0.9170475148529851
test73,0.9194678338457796
test74,0.9213166973184826
test75,0.921546439265058
test76,0.9261916722947585
test77,0.9334648617259756
test78,0.9341108654042544
test79,0.9293817517144574
test80,0.9239365659631026
test81,0.9188468248099604
test82,0.9211728036926508
test83,0.9235308439752525
test84,0.9227454184015577
test85,0.9264336038560227
test86,0.9278694136314452
test87,0.9281598211442974
test88,0.9346294248781716
test89,0.9425424423029216
test90,0.943595231842005
test91,0.9368768845167108
test92,0.9290907242229257
test93,0.9231884140394251
test94,0.9251316746163849
test95,0.927912056364299
test96,0.926792721973425
test97,0.9321100138598469
test98,0.9338453230262892
test99,0.9338913898917336
test100,0.9420300013793549
test101,0.9518181161517312
test102,0.9546572187124031
test103,0.9465706620439378
test104,0.9362847994267828
test105,0.9288346160834162
test106,0.9301083783158265
test107,0.9322167903920656
test108,0.9296775949758187
test109,0.9334648617259756
test110,0.9341108654042544
test111,0.9350588653262832
test112,0.9445145170372629
test113,0.9562356184312875
test114,0.9612905669687141
test115,0.9487110193745723
test116,0.9374723312256442
test117,0.9298939630024807
test118,0.9303612883387644
test119,0.9339417559037934
test120,0.9332694414616778
test121,0.9395973585142372
test122,0.9417559928696111
test123,0.9443463949209301
test124,0.9524974489623486
test125,0.9666331465863048
test126,0.9735142132881326
test127,0.9598645484221667
test128,0.9462687953649975
test129,0.9380717186961046
test130,0.9407166722980831
test131,0.9442868361904228
test132,0.941706970136854
test133,0.9440544262712235
test134,0.9511361759175639
test135,0.9550330735884301
test136,0.9643709088174025
test137,0.9821032327834899
test138,0.9861666647197336
test139,0.9697000870568971
test140,0.9565465653459467
test141,0.9443428919909154
